1,8652 Sheridan Crossing,RESIDENTIAL
2,1915 Westerfield Parkway,RESIDENTIAL
3,97172 Corry Avenue,FARM
4,55 Victoria Trail,COMERCIAL
5,81703 Lunder Trail,RESIDENTIAL
6,7554 Stoughton Way,RESIDENTIAL
7,32459 Pleasure Place,COMERCIAL
8,59 Rockefeller Hill,INDUSTRIAL
9,8 Becker Road,COMERCIAL
10,6272 Nobel Terrace,FARM
11,85 Hermina Road,RESIDENTIAL
12,86 Linden Place,INDUSTRIAL
13,748 Hermina Crossing,FARM
14,48431 Hauk Drive,RESIDENTIAL
15,497 Warrior Hill,INDUSTRIAL
16,99377 Prentice Pass,FARM
17,18478 Hallows Way,COMERCIAL
18,5 Chive Plaza,INDUSTRIAL
19,083 Gulseth Crossing,RESIDENTIAL
20,56 Miller Place,INDUSTRIAL
21,0 Kenwood Trail,FARM
22,715 Barby Way,COMERCIAL
23,4 Quincy Alley,FARM
24,1667 Grover Plaza,FARM
25,187 Homewood Way,FARM
26,865 Chinook Parkway,INDUSTRIAL
27,18 Becker Alley,RESIDENTIAL
28,36 School Trail,COMERCIAL
29,8000 Lawn Street,FARM
30,15 Mccormick Place,COMERCIAL
31,3718 Kinsman Place,FARM
32,64 South Point,INDUSTRIAL
33,9792 Emmet Drive,COMERCIAL
34,170 Wayridge Parkway,INDUSTRIAL
35,814 Anniversary Way,INDUSTRIAL
36,1694 Pepper Wood Lane,COMERCIAL
37,1 Hayes Court,INDUSTRIAL
38,9 Killdeer Hill,INDUSTRIAL
39,12 Swallow Hill,FARM
40,8 Stephen Court,RESIDENTIAL
41,7606 Fieldstone Lane,RESIDENTIAL
42,29327 Saint Paul Street,INDUSTRIAL
43,052 American Ash Avenue,FARM
44,237 Namekagon Terrace,COMERCIAL
45,8 Granby Lane,COMERCIAL
46,0 Bunker Hill Pass,RESIDENTIAL
47,53 Anniversary Trail,FARM
48,23 Buena Vista Point,RESIDENTIAL
49,15158 Logan Plaza,INDUSTRIAL
50,463 Bay Park,FARM
51,8688 Surrey Crossing,COMERCIAL
52,359 Dorton Point,RESIDENTIAL
53,60474 Manitowish Way,RESIDENTIAL
54,5389 Farragut Junction,COMERCIAL
